unique_input_record_identifier	input_title	lookup_key	input_writers	input_performers		database_song_title	database_song_writers
7lM1UzajLd21s1ZuRfpGgA	Break Up To Make Up	BREAKUPTOMAKEUP	Kenneth Gamble,Linda Creed,Thom Bell	The Stylistics	0002864523	BREAK UP TO MAKE UP	BELL T/CREED L/GAMBLE K
4uczldHoOcXmCbyn9K9Z79	Il santo morto	SANTOMORTO	Dario Brunori	Brunori Sas	0045648177	IL SANTO MORTO	BRUNORI DARIO
5k2N84tO7V39kmWqMBku1T	Singing Om	SINGINOM	George Harrison	George Harrison	0024871928	SINGING OM	HARRISON GEORGE
3yd7CJI7dBtYEu76OrVBO4	Vapen till dom hopplÃÂ¶sa	VAPENTILDOMHOPLOSA	Robert Hurula	Hurula	0052131427	VAPEN TILL DOM HOPPLOSA (SE)	ROBERT HURULA
55gN8z0E6r6AAQT1rDJKmO	N'importe quel gars	NIMPORTEQUELGAR	Julie AubÃÂ©,Katrine NoÃÂ«l,Vivianne Roy	Les Hay Babies	0046154522	N'IMPORTE QUEL GARS	JULIE AUBE/VIVIANNE ROY/KATRINE NOEL
4B3W3U9Z3PAx1gUhiQYaIP	Romeo And Juliet (Love Theme)	ROMEO&JULIET	Nino Rota,Parti Siae	David Osborne	0041683896	ROMEO AND JULIET	NINO ROTA
6JQRfYsQ4gECXZaIq9XflL	Rain Over Kilimantscharo	RAINOVERKILIMANTSCHARO	Steve Mandy	Daniela de Santos	0046619320	RAIN OVER KILIMANTSCHARO	STEVE MANDY
66BTx0xlzyEVhYSbWv4VW3	Ain't Got Time	AINTGOTTIME	Roselle Weaver,Roy Ayers	Roy Ayers Ubiquity	0021784693	AIN'T GOT TIME	WEAVER ROSELLE
2sReONNP28tO7YY7PAsTB9	Bad Spirits (Bani)	BADSPIRIT	Dee Dee Bridgewater,KassÃÂ©-Mady DiabatÃÂ©	Dee Dee Bridgewater	0035226813	BAD SPIRITS (BANI)	DIABATE K/GARRETT D
2WtdEW2JY3zh4lJexJRDTs	Velle	VELE	Desi Crew,Kala Nizampuri	Lakhwinder Wadali	0046753697	VELLE (FROM 'SAIYAAN')	KALA NIZAMPURI/DESI CREW
6g83TC6HMgsFYvAQhphYKc	Tooth Fairy	TOOTHFAIRY	Peter von Poehl	Peter von Poehl	0036315974	TOOTH FAIRY	POEHL PETER VON
3FH8uxzN56uIBvrejurzCi	"Deivangal Ingae (From ""Anegan"")"	DEIVANGALINGAE	Harris Jayaraj,Kabilan	Harris Jayaraj,Sriram Parthasarathy	0047194614	DEIVANGAL INGAE	JAYARAJ J/VAIRAMUTHU K
7uzwzePqx93sDauRFC8pBu	The Lake Wobegon Hymn	LAKEWOBEGONHYMN	Garrison Keillor	Garrison Keillor	0034300362	LAKE WOBEGON HYMN	/DVORAK/ARR/KEILLOR G/HEMBERG V
74CVaqpAlFgkSCNQrkz65f	Surfin' Safari	SURFINSAFARI	Brian Wilson,Mike Love	Jan & Dean	0001418620	SURFIN SAFARI	WILSON B/LOVE M
7F0NriJNf3d0MN1qu9dzZt	It Must Have Been Love	ITMUSTHAVEBEENLOVE	Per Gessle	Mark Masri	0000217500	IT MUST HAVE BEEN LOVE	GESSLE PER HAKAN
68CS9l3vBPG0tsAeVjSV44	Little Deuce Coupe (Mono)	LITLEDEUCECOUPE	Brian Wilson,Roger Christian	The Beach Boys	0000631534	LITTLE DEUCE COUPE	CHRISTIAN R/WILSON B
4RhekQNNxA2yAqkKhydaQo	Wonderful Maker	WONDERFULMAKER	Chris Tomlin,Matt Redman	Chris Tomlin	0032676560	WONDERFUL MAKER	/REDMAN M/TOMLIN C
3lfTxWNetunmGfEBvGE1K9	Lovechild	LOVECHILD	Baumgartner,Lahr,Pranyko	De-Phazz	0045042817	LOVECHILD	BAUMGARTNER PETER (DE)
5SzqVRrSXbPeUGT5pUjsUo	He Will Break Your Heart	HEWILBREAKYOURHEART	Jerry Butler	Jerry Butler	0001225899	HE WILL BREAK YOUR HEART	CARTER C/MAYFIELD C/BUTLER J
0ZfLFldhoCYY5McK1ZyLVN	Stand On It	STANDONIT	Bruce Springsteen	Mel McDaniel	0000153065	STAND ON IT	SPRINGSTEEN BRUCE
6uzLsVw7NSneF0LAM3onNz	Slipstream	SLIPSTREAM	C Shakespeare,G Porter	Sherbet	0000450815	SLIPSTREAM	PORTER G/SHAKESPEARE C
54ijM3PLfwmflMzL3gTXMe	please don't give up on me	PLEASEDONTGIVEUPONME	Olli Suominen	olli	0053661513	PLEASE DON'T GIVE UP ON ME	OLLI SUOMINEN
6Xlvt1plyWi2XtgwMuVjRT	In Boxes	INBOXE	Aurora Aksnes,Edvard FÃÂ¸rre Erfjord,Henrik Barman Michelsen	AURORA	0048084267	IN BOXES	AKSNES A/ERFJORD E/MICHELSEN H
36GlqLI1HidbyM2MejigCz	Be Around	BEAROUND	Michal Martyniuk	After 'Ours	0049063425	BE AROUND	WILLIAMS N/MARTYNIUK M/NANAI M
4opHu54LNM02cZBJdrTlrD	Brooklyn Love	BROOKLYNLOVE	Kronlund,Robinson	Anna Brooks,Brooklyn Funk Essentials,Desmond Foster	0049020876	BROOKLYN LOVE	ROBINSON/KRONLUND
5jgHQfMXmSu4hx8bXxKW0n	You'll Be In My Heart	YOULBEINMYHEART	Phil Collins	Celtic Woman	0018768620	YOU'LL BE IN MY HEART	COLLINS PHILLIP DAVID CHARLES
0E1JWnV8GQBKP6ASutH49L	Summer Breeze	SUMERBREEZE	Gunter Gerl,Vincenzo Ragone	Vincenzo	0034999304	SUMMER BREEZE	RAGONE V/GERL G
0hFwmmJgNa3dPF4t9bmlRb	Shuckin' Sugar	SHUCKINSUGAR	Jefferson	Wizz Jones	0051348465	SHUCKIN' SUGAR	JEFFERSON
5nAsQUkBZpPXUByLBune0f	Finis les	FINI	Alonzo,Benjamin Costecalde	Alonzo	0049406244	FINIS LES	COSTECALDE B/DJAE K
2ZHuQYIi971HfdtVikOVVP	I'm So Hot for You	IMSOHOTFORYOU	B. Orlando	Bobby O	0015690797	IM SO HOT FOR YOU	ORLANDO ROBERT PHILLIP
7lEJ8WNvXX11pS5vVZHnFI	Seksa	SEKSA	Saari Amri	Datuk Sharifah Aini	0049558160	SEKSA	SAARI AMRI
22f7qyXI4Ra0ypejTl3h3h	Cruise Control	CRUISECONTROL	Andrew Godwin,Corbray Sean,Derrick Wadsworth,Jason Linquist,Mark Garza	Embodyment	0033449901	CRUISE CONTROL	WADSWORTH/COBRAY/LINQUIST/GODWIN/GARZA
6SvpYxDBNdGpMescXqPRML	Un Uomo Diverso	UOMODIVERSO	Alessandro Ciuffetti,Francesco De Benedittis,Francesco GazzÃÂ¨,Max GazzÃÂ©	Max GazzÃÂ©	0049146931	UN UOMO DIVERSO	FRANCESCO DE BENEDITTIS/FRANCESCO GAZZE/
5g2FD6C9187XBxyUkIPXI6	Move to Bremerton	MOVETOBREMERTON	Michael Arthur Herrera	MxPx	0018049262	MOVE TO BREMERTON	HERRERA MICHAEL A
4j0RSHgte6Q37dET4402zl	Dirt Bike	DIRTBIKE	John Flansburgh,John Linnell,Wilbur Pauley	They Might Be Giants	0008477722	DIRT BIKE	LINNELL J/FLANSBURGH J
5AtWnHvZLuOIJGLi7vd6N9	Making Love Out Of Nothing At All	MAKINLOVEOUTOFNOTHINATAL	Jim Steinman	Andrew Polec,Christina Bennington	0050186411	MAKING LOVE OUT OF NOTHING AT ALL	STEINMAN J
59yBszMHZVBwpmoATwLYlk	I Wonder (Live 1961)	IWONDER	Pvt. Cecil Gant,Roosevelt Sykes	Ray Charles	0011003524	I WONDER	SYKES ROOSEVELT
05dwNAqhI33dDdl6O1HXKj	M'innamoro di te	MINAMORODITE	Dario Farina	Ricchi E Poveri	0035027419	M'INNAMORO DI TE	FARINA D/MINELLONO C
1UYfeo5RWoJqToShNR7z90	Everything To Me	EVERYTHINTOME	Jacob Hemphill	SOJA	0052962119	EVERYTHING TO ME	HEMPHILL JACOB CHARLES
5xpCvHcPwM6vRKgnZoCMM0	My Little Suede Shoes	MYLITLESUEDESHOE	Charlie Parker	J.J. Johnson	0000310023	MY LITTLE SUEDE SHOES	PARKER CHARLIE (USA)
65QSX3J0dpedyim10KFcqD	Ein paar Runden	PARRUNDEN	Kurt EbelhÃÂ¤user,Sascha Madsen,Sebastian Madsen	Madsen	0053607618	EIN PAAR RUNDEN	EBELHAEUSER K/MADSEN S/MADSEN S
7olpGfJNBUY2FMfEgKkRL9	Renaissance	RENAISANCE	Toni Mudrack	Teesy	0052893301	RENAISSANCE	MUDRACK TONI
0R98xUB64hLacrTOhLtdJ0	Renegade	RENEGADE	Gary Richards	Destructo	0051735829	RENEGADE	RICHARDS G/CHIEN D/GIBBS F
3tteVlYj7b3DtrRIeKXwIX	We Rise Again	WERISEAGAIN	Eugene Hutz,Eugene Hutz,Michael Ward,Oliver Charles,Pedro Erazo-Segovia,Sergey Ryabtsev,Thomas Gobena,Yury Lemeshev	Gogol Bordello	0042667507	WE RISE AGAIN	CHARLES/RYABTZEV/GOBENA/ERAZO-SEGOVIA/LE
0bcJNyPGEqSJ26jdD1QFGF	Mercy Tree	MERCYTREE	Krissy Nordhoff,Michael Neale	Lacey Sturm	0043728115	MERCY TREE	NEALE M/NORDHOFF K
1NsbdxXsMS3m8Q79P6GWLo	...calling	CALIN	Nonchalant Savant	Nonchalant Savant	0053591494	CALLING	NONCHALANT SAVANT
5zM3K85G6XQ1NWTiMB37Zv	Choose That One	CHOOSETHATONE	James Shearman,Patrick Doyle	Patrick Doyle	0047526269	CHOOSE THAT ONE	DOYLE PATRICK
5Unqje8E2DNjcSD0VKJvYu	I Love You So Much	ILOVEYOUSOMUCH	F. Washington,Leonard Caston,Sugar Pie DeSanto	Sugar Pie DeSanto	0053386735	I LOVE YOU SO MUCH	LEONARD CASTON/LEONARD CASTON/SUGAR PIE
3LkiH06MgIdAeWQyF5LMzH	Bro, bro breja	BROBROBREJA	Tomas Blank,Traditionell	GÃÂ¶teborgs Symfonietta,Tomas Blank	0041689863	BRO, BRO BREJA	TRADITIONELL
2eK4surM0e3FMluNE9hqMR	Anonymous	ANONYMOU	DJ Emerson	DJ Emerson	0047201247	ANONYMOUS	DJ EMERSON
31HrK1wyC3VvptHdj9JXvB	Electric Blues / Old Fashioned Melody	ELECTRICBLUESOLDFASHIONED	Galt MacDermot,Gerome Ragni,Jim Rado,Tom Pierson	Galt MacDermot,Tom Pierson	0003279488	ELECTRIC BLUES	MACDERMOT A/RADO J/RAGNI G
2aLxKSzpkAZfNQ7cmrXiyj	Unconditional Love	UNCONDITIONALLOVE	Chris Cresswell,Jon Darbey,Paul Ramirez,Scott Brigham	The Flatliners	0054476646	UNCONDITIONAL LOVE	BRIGHAM S/CRESSWELL C/DARBEY J/RAMIREZ P
0zhkuIQ4345YbKjAmYkAr2	Chewin' Mi Mic	CHEWINMIMIC	Bab Lee,El Kady,RAUX,erdeven,sevret,wauthier	Zenzile	0049512307	CHEWIN MI MIC	BABLEE/EL-KADY/ERDEVEN/RAUX/SEVRET/WAUTH
4jpaa5BZdOtVgzKNyVxSM2	Sonnet for Stevie	SONETFORSTEVIE	Mark Turner	Baptiste Trotignon,Mark Turner	0046265957	SONNET FOR STEVIE	TURNER MARK FREMONT
