unique_input_record_identifier	input_title	lookup_key	input_writers	input_performers		database_song_title	database_song_writers
1T3vZiFuqP0jeKYODA9cPW	Caliente	CALIENTE	Andy Kaufhold,Jaspa Jones,Piet Blank	Blank & Jones	0052192476	CALIENTE	JONES J/KAUFHOLD A/BLANK P
5YAjpn3NzhdXBxYL5cGy89	Hello	HELO	Richie	Francis Goya	0002396774	HELLO	RICHIE LIONEL B (JR)
57glJwCgaO15nGDw8L24tJ	El Mercado	MERCADO	Alex Rodriguez	Alex Rodriguez	0051393355	EL MERCADO	ALEX RODRIGUEZ
2JrPYgybHbfNq1GLrAfubI	"Love Theme from ""The Godfather"""	LOVETHEMEFROMGODFATHER	Nino Rota	Andre Kostelanetz & His Orchestra	0000076823	LOVE THEME (FR GODFATHER)	ROTA NINO (GIOVANNI)
33HCg2N6H6ZSrzHq9lU0dN	Satanic Barbarism	SATANICBARBARISM	Brian Malone,Eric Hersemann	Diabolic	0036768349	SATANIC BARBARISM	MALONE B/HERSEMANN E
52ctAVW37gpbNcVRJ6bT0A	Sirens	SIREN	Gabe Dixon	Gabe Dixon	0037084316	SIRENS	DIXON GABRIEL BARRY
6zITIkNO0vAoEtvM9ZEFpM	Hanging Around	HANGINAROUND	Gemma Hayes	Gemma Hayes	0029640762	HANGING AROUND	HAYES GEMMA CLAIRE
2nk5cDGgASFCSinFjphaYK	Salome	SALOME	Andrew Lloyd Webber,Christopher Hampton,Don Black	Andrew Lloyd Webber,Kevin Anderson,Patti LuPone	0007207857	SALOME	LLOYD-WEBBER A/BLACK D/HAMPTON C
4HDjs3LiKRVJsa9LW5tzTT	Sti Theoria	STITHEORIA	Christodoulos Siganos,Valentino	Panos Kiamos	0045829519	STI THEORIA	VALENTINO/HRISTODOULOS SIGANOS
6ZW4YoXdDsV6rc8clOBRn4	Marcha do Donzel	MARCHADODONZEL	Ariano Suassuna,Renata Rosa	Renata Rosa	0042320961	MARCHA DO DONZEL	BRAGA D/SUASSUNA A
6nwK4MlCvxob5Yk3NuHDXx	To the Dawn	TODAWN	Henry Burton,Sara Groves	Sara Groves	0053088530	TO THE DAWN	/ARR/GROVES SARA
5Ma5oifXhrs1lq56lV59hI	Whispers	WHISPER	Xavier Rudd	Xavier Rudd	0035233071	WHISPERS	RUDD XAVIER PETER I
0zxWRrstHxE3fYI5QleMxf	I Want You	IWANTYOU	Daniel Burke,Kaz Gamble,Marcello De Angelis	Birdee	0051071826	I WANT YOU	DE ANGELIS M/BURKE D/KAZ G
1EhM3WRdenmzHQ3YUzAh0m	Juancho	JUANCHO	Lucho Junco	Cabas	0033386189	JUANCHO (CUMBIA)	ROSALES A/JUNCO L
5CGzGHQydEhSQVOC3CW7Oh	Festival Crash	FESTIVALCRASH	F. Corsten	Ferry Corsten	0046749998	FESTIVAL CRASH	CORSTEN FERRY
0RClguMsTbVPYKzY27TzyL	Espirais	ESPIRAI	Alexandre Lemos,Alexandre Silveira de Castilho	Marjorie Estiano	0035247662	ESPIRAIS	DE CASTILHO A/LEMOS A
43qiUSR7w0b7NrjV0dm6b2	Superheld	SUPERHELD	Jakob Sinn,Johannes Strate,Kristoffer HÃÂ¼necke,Niels GrÃÂ¶tsch	Revolverheld	0034458905	SUPERHELD	HUENECKE K/STRATE J/GROETSCH N/SINN J
07WNFI1IZp7EXGOL2YyCzw	Slow Ruin	SLOWRUIN	Sannhet	Sannhet	0044389452	SLOW RUIN	SANNHET
0OA2aD6f3nP17nZtx2udzh	Poor Boy	POORBOY	Ben Hayslip,Dallas Davidson,Rhett Akins,Tyler Farr	Tyler Farr	0046810911	POOR BOY	DAVIDSON D/AKINS R/FARR T/HAYSLIP B
7xRPfG0cM9klqDigaRl9VP	Whiskey Ghost	WHISKEYGHOST	Gary Nicholson,Tom Hambridge	Buddy Guy	0044580879	WHISKEY GHOST	NICHOLSON G/HAMBRIDGE T
4BEwHBh3V461UyBK2mGpq5	First Light	FIRSTLIGHT	Dan Michaelson	Dan Michaelson	0052628496	FIRST LIGHT	MICHAELSON D/LINDNER A
0jacpERIrAsZmr803d2Uk5	Anathema	ANATHEMA	David Arnold	David Arnold,Tori Amos	0055928285	ANATHEMA	DAVID ARNOLD
6ppg2EReeJMf4ntrwwIkWp	DANCE WITH ME NOW!	DANCEWITHMENOW	Michico,T.kura	E-girls	0049435577	DANCE WITH ME NOW! (PKCZR REMIX)	KURA T/MICHICO/MICHICO
0ej4nOozKUrCOU7ysxNXLh	What's New	WHATSNEW	Bob Haggart,Johnny Burke	Lee Konitz	0034735820	WHAT'S NEW	HAGGART ROBERT
3vJuG3Uc9yUmB79azIEGDE	Last Night	LASTNIGHT	Emma Anderson	Lush	0010753011	LAST NIGHT	ANDERSON EMMA VICTORIA JANE
48GzqZeI4CJLdxJ4o5WWMk	#thatPOWER	THATPOWER	William Adams	Neil Edward	0044169068	#THATPOWER	BIEBER J/ADAMS W/LEROY D/STOLYAROV A
6RyCki6lEPqMMau369wPyW	Long on Love	LONGONLOVE	Rory Lee and Tony O. Villanueva	The Derailers	0019329225	LONG ON LOVE	LEE R/VILLANUEVA T
637SM8vCqY6uNFvnLLEipf	Redwing	REDWIN	Anthony Banks	Tony Banks	0020939009	REDWING SUITE	BANKS ANTHONY GEORGE
7Ijlt1DIrpT3kEU2JaKa0f	Prayer for Travelling	PRAYERFORTRAVELIN	Gabriel Jackson	St. Jacob's Chamber Choir	0048664064	PRAYER FOR TRAVELLING	GABRIEL JACKSON
71piNzA61VqdBPbTmRPsYb	Albatross	ALBATROS	P. Green	The Hero Guitar Maniacs	0047465517	ALBATROSS (FROM 'MAN ON WIRE')	A GREEN P
7GzI0Jk377Qpch8KtHvyKq	Sem Ti	SEMTI	Anselmo Ralph	Anselmo Ralph	0045983679	SEM TI	ANSELMO RALPH/ANSELMO RALPH/NELLSON KLAS
0NdWmjRN9DUT7k7QpMMEYk	Thanu Vethikina	THANUVETHIKINA	Gopi Sundar,Sirivennela Seetharama Sastry	Satya Yamini	0054545022	THANU VETHIKINA	GOPI SUNDAR/SIRIVENNELA SEETHARAMA SASTR
6IF3S46wTRtaQimGtURfmM	Umpa Lumpa	UMPALUMPA	Max Loderbauer,Tom Thiel	sun electric	0035909108	UMPA LUMPA	LODERBAUER M/THIEL T
6D0XmEAG67nJF3ygIVZCOO	Quickdraw	QUICKDRAW	A Santilla,B Dexter,B Dochstader,G. Campbell	67 Special	0035600177	QUICKDRAW	SANTILLA/DEXTER/CAMPBELL/DOCHSTADER/MACK
3bRUvmYOZ8tqguEGWyVmYE	Mittelfinga hoch	MITELFINGAHOCH	Aaquil Brown,Robert Zemichiel,Samy Sorge	ASD	0048235429	MITTELFINGA HOCH	SORGE S/SORGE S/AFROB/BROWN A
53jogSv23P6DFcOHcZrDs9	Save Me	SAVEME	Baker,Haner,Sanders,Seward,Sullivan	Avenged Sevenfold	0039728997	SAVE ME	BAKER/SULLIVAN/SANDERS/HANER/SEWARD
55426eqWLGsLRzCHp0mlxA	Am I Right?	AMIRIGHT	Andy Bell,Erasure,Vince Clarke	Erasure	0004627919	AM I RIGHT	CLARKE V/BELL A
6usHxH3iCQC3ETkIWG36Km	Disappear	DISAPEAR	Kay Hanley,Letters To Cleo	Letters To Cleo	0036792481	DISAPPEAR	EISENSTIEN/HANLEY/MCKENNA/RIEBLING
70Vc2mCfevAjiM6O1vfGXR	Dipped In Ice	DIPEDINICE	Aleicia Gibson,Chauncey Hollis Jr.,DiamontÃÂ© Harper,Dustin James Corbett,Gino Borri,Ryan Martinez	Saweetie	0055319678	DIPPED IN ICE	GIBSON/HARPER/MARTINEZ/BORRI/CORBETT/HOL
6Pbwhr9C4ddhsKLbnd6Ydg	Blue Fiddle	BLUEFIDLE	Paul Moravec	Cory Smythe,Hilary Hahn	0045412028	BLUE FIDDLE	MORAVEC VINCENT PAUL
3gW8N0jXhpnaw4R25UsRIL	Shake Your Money Maker	SHAKEYOURMONEYMAKER	Elmore James	Elmore James	0003461019	SHAKE YOUR MONEY MAKER	JAMES ELMORE
4IB3eXd1V1aCdJFYS7mU7T	Three Guesses	THREEGUESE	Linda Scott	Linda Scott	0036531862	THREE GUESSES	SCOTT L/SCOTT L
3PsNZLdClHYTnpQ8RS9fyG	Be Ma Fela	BEMAFELA	Tiago Novo	Marta Ren & The Groovelvets	0049753201	BE MA FELA	TIAGO NOVO
1TUQrPj7jp0uc3cmS6kCzr	Finally	FINALY	Pauline Henry	Pauline Henry	0048392992	FINALLY	PAULINE HENRY
4dgbAhd966nEBgVhsG6HoT	Sahaja (Relaxing Yoga Music)	SAHAJA	Marco Rinaldo	Spiritual Music Collection	0049732029	SAHAJA (YOGA MUSIC)	NIEZNANY/MARCO RINALDO
6Yp57oaKt49cLiACXsWz7p	Batyar (Bigmouth Strikes Again)	BATYAR	Johnny Marr,Steven Morrissey	The Ukrainians	0019720748	BATYAR	MORRISSEY S/MARR J
15cSr8Q5KzlSg6c3swnTrw	The Window up Above	WINDOWUPABOVE	Jones	George Jones	0000521810	WINDOW UP ABOVE	JONES GEORGE
7b0TbASq3JHtj54SDVJQWJ	The Breeze And I	BREEZE&I	Al Stillman,Ernesto Lecuona	Henry Mancini	0001049552	BREEZE AND I	LECUONA-CASADO E/STILLMAN A
3OnclyqyU6kYhf3Swix1SS	Siete homicidios	SIETEHOMICIDIO	Rodrigo Miranda	Los Trukeros	0044918347	SIETE HOMICIDIOS	RODRIGO MIRANDA/RODRIGO MIRANDA
1TbuDl6GklIG7zy5fSiNni	Nessun Dorma	NESUNDORMA	Giacomo Puccini	Luciano Pavarotti	0022497215	NESSUN DORMA	/PUCCINI/ARR/LEWIS R/COHAN R
0rH0nZVbFR4ny1lN1PNSfC	You Don't Want to Get You One of Those	YOUDONTWANTTOGETYOUONEOFT	Mark Knopfler	Mark Knopfler,Tommy Emmanuel	0052879414	YOU DON'T WANT TO GET YOU ONE OF THOSE	KNOPFLER MARK
3JDPO6psvw4EZYAHOJVNd7	Go into Your Dance	GOINTOYOURDANCE	Al Dubin,Harry Warren	Caroline O'Connor,Cathy Wydner,Company of 42nd Street,Kim Criswell,National Symphony Orchestra	0000558663	GO INTO YOUR DANCE	WARREN H/DUBIN A
7jqCebvd30ZSaQBfwV2Na5	Book II: Prelude and Fugue No. 17 in A-Flat Major, BWV 886	BOOKIIPRELUDE&FUGUENO17IN	Johann Sebastian Bach	Sviatoslav Richter	0053698329	BOOK II: PRELUDE AND FUGUE NO. 17 IN A-FLAT MAJOR, BWV 886	JOHANN SEBASTIAN BACH
296LoOFurYUNo0xr6diEES	OdyssÃÂ©e	ODYSEE	Bernard Fevre,Jacky Giordano	Bernard Fevre	0049635375	ODYSSEE	FEVRE B/GIORDANO J
2UYdO5OLRIaWQhTTNCy7Dx	Unvergesslich (Inoubliable)	UNVERGESLICH	Charles Aznavour,Pierre Delanoe	Charles Aznavour	0047930907	UNVERGESSLICH (INOUBLIABLE)	CHARLES AZNAVOUR/PIERRE DELANOE
6VwGytUkC11Mj5kcHXggYj	Eravamo Re	ERAVAMORE	Cosimo Fini,Stefano Tognini	Gue Pequeno	0048133243	ERAVAMO RE	FINI C/TOGNINI S
67bkRbYTDuhYXIwdIF0dkA	Caminando	CAMINANDO	Camilo VelÃÂ¡squez,VerÃÂ³nica AtehortÃÂºa	Veka	0047579044	CAMINANDO	CAMILO VELASQUEZ/VERONICA ATEHORTUA
4XpoKWfMZzerw1R7uX5LMs	Boogie Magic	BOOGIEMAGIC	Dennis Coffey	Dennis Coffey	0041798782	BOOGIE MAGIC	COFFEY DENNIS JAMES
5EKCupOjtK8BBz8MUw8WWX	Looking Through Darkness	LOOKINTHROUGHDARKNES	Derrick Harris,Keith Elam	Guru	0010954748	LOOKING THROUGH DARKNESS	ELAM K/HARRIS D
78SCz6GkX5zPta7X1DsZnZ	Que Te Vaya Bonito	QUETEVAYABONITO	JosÃÂ© Alfredo Jimenez,RubÃÂ©n Fuentes	JosÃÂ© Alfredo Jimenez	0003736383	QUE TE VAYA BONITO	JIMENEZ-SANDOVAL JOSE ALFREDO
1YMRTLjJC5gK4ZfULfm17T	Shoes	SHOE	Doug Pinnick,Jerry Gaskill,Ty Tabor	King's X	0034727555	SHOES	TABOR T/GASKILL J/PINNICK D
2BAyouVbATFhG3qX9ZHuwQ	Bedrock	BEDROCK	K. Crawford,N. Skeltys	B(if)tek	0014102288	BEDROCK	SKELTYS/CRAWFORD/MALNECK/SIGNORELLI/PARI
4rxTIrp20yS9TlGKOtP5pG	Pusti Micu, Gadan Je U Picu	PUSTIMICUGADANJEUPICU	B. M. Knindza	Baja Mali Knindza	0041448081	PUSTI MICU, GADAN JE U PICU	BAJA MALI KNINDZA/BAJA MALI KNINDZA
2jpvd0imsQzgdoIXEBdNxj	Birds	BIRD	Dan Carey,EmilÃÂ­ana Torrini	EmilÃÂ­ana Torrini	0036830106	BIRDS	TORRINI E/CAREY D
1jP3M6DPaKEIP8GQpTdHNX	Too Much	TOOMUCH	"Alex Lustig,Karim Kharbouch,Lonnie ""Skeme"" Kimble"	French Montana	0052085617	TOO MUCH	KHARBOUCH K/KIMBLE L/LUSTIG A
7ggMd2kMLvHxFRpUocaJvE	Fata Morgana	FATAMORGANA	Andreas Cremer,Philipp Handke	Ibiza House Classics	0050834963	FATA MORGANA	ANDREAS CREMER/PHILIPP HANDKE
4HInoGZUGFFjFWq3IAwKTw	Superfine Love	SUPERFINELOVE	"Biancaniello,Cohen,Frank ""Killer Bee"" Martin,Jeffrey Cohen,Louis Biancaniello,Narada Michael Walden,Skylar Jett,Walden"	Al Jarreau	0005190169	SUPERFINE LOVE	WALDEN N/BIANCANIELLO L/COHEN J
4I1keiyuvoJkcGdk8Efq3D	Reunion	REUNION	Gerry Mulligan	Chet Baker,Gerry Mulligan	0041729689	REUNION	MULLIGAN
3s8gmcDD3MLdyPeyDoEIK8	Botanist	BOTANIST	Samuel Thomas Yeldham	Guineafowl	0038775177	BOTANIST	YELDHAM SAMUEL THOMAS
14iXpUJUEoXM9ADK29zT9h	Plea Bargain	PLEABARGAIN	Marc Shaiman	Marc Shaiman	0010402131	PLEA BARGAIN	SHAIMAN MARC
07g2acZ6kljLjk0Xif8MtC	You Started Something	YOUSTARTEDSOMETHIN	Matt Aitken,Mike Stock,Peter Waterman	Samantha Fox	0011631482	YOU STARTED SOMETHING	WATERMAN P/STOCK M/AITKEN M
4tu2wvKfJeaKS8uIySXrHR	Em Algum Lugar no Tempo	EMALGUMLUGARNOTEMPO	Alvaro Birita,Bruno Gouveia,Carlos Coelho,Manno Goes,Miguel Flores da Cunha	Biquini CavadÃÂ£o	0054528419	EM ALGUM LUGAR NO TEMPO	MIGUEL/BRUNO/ALVARO/COELHO/MANNO GOES
7bgL7kWbCPhFh9ccpmlikL	Nu Exciters	NUEXCITER	Peter LaSalle,Ralf Eckert	Eckert,Lasalle	0048909829	NU EXCITERS	RALF ECKERT/PETER LASALLE
3EPleXomzYCh6w1bkBHhEF	Hats (Makes Me Wanna Holler)	HAT	Jean-Paul Maunick,Richard Bull	Incognito	0046302347	HATS (MAKES ME WANNA HOLLER)	BULL R/MAUNICK E
1xeMq87xBMSLpjXo85jIOQ	Country Roads	COUNTRYROAD	John Denver,Mary Danoff,William Danoff	Me First and the Gimme Gimmes	0001453379	TAKE ME HOME COUNTRY ROADS (ORIGINAL VERSION)	DENVER J/DANOFF B/DANOFF M
1NIgovf0IUMcggtYPJRp6C	The Final Absolution	FINALABSOLUTION	Ian Jekelis,Kenneth Steven Bedene,Mendel bij de Leij,Stefano Franceschini,Sven De Caluwe	Aborted	0054475923	THE FINAL ABSOLUTION	BIJ DE LEIJ/DECALUWE/FRANCESCHINI/JEKELI
0uzhVVCG73nBIngV1hpyvY	I Can't Let Go	ICANTLETGO	Al Gorgoni,Chip Taylor,Ltd.,Stone House Productions	Gorgoni,Martin & Taylor	0000881406	I CANT LET GO	GORGONI A/TAYLOR C
7KYItmZqiTnvfuO42oc6Og	Agar Tu Hota	AGARTUHOTA	Abhendra Kumar Upadhyay,Ankit Tiwari	Ankit Tiwari	0049986704	AGAR TU HOTA	TIWARI A/UPADHYAY A
2mmFemFfAyv9kGffdjhGqC	Alguien Que Se Cruce En Mi Camino	ALGUIENQUESECRUCEENMICAMI	Cacho Valdez,Eduardo Franco	Los Iracundos	0047919020	ALGUIEN QUE SE CRUCE EN MI CAMINO	EDUARDO FRANCO/CACHO VALDEZ/EDUARDO FRAN
5eDYqeMnqFNAHochPlvD9b	Taco Wagon	TACOWAGON	Dick Dale and his Del-Tones	Dick Dale and his Del-Tones	0028848155	TACO WAGON	DALE DICK
5U9MWOE39IQ7dcPDT0XO3T	Mother Goose: i. Sleeping Beauty	MOTHERGOOSEISLEEPINBEAUTY	Maurice Ravel	Philharmonia Orchestra	0050173612	MOTHER GOOSE: I. SLEEPING BEAUTY	MAURICE RAVEL
47A2Tce2Zpgq0hl45qJki3	Appreciate You	APRECIATEYOU	Monte Level Kelley	Tay Kelley	0053724138	APPRECIATE YOU	MONTE LEVEL KELLEY
1SzovCA1H8KPmhRm6BchKt	Trilogy for Krishna: Krishna II - Holy Denying	TRILOGYFORKRISHNAKRISHNAI	Arthur Andres Ribeiro	Uakti	0049046013	TRILOGY FOR KRISHNA: KRISHNA I - HOLY AFFIRMING	ARTHUR ANDRES RIBEIRO
2B8VErJAQkqP0bM6Mb33sL	Kapardina	KAPARDINA	Hristoforos Krokidis,Lefteris Papadopoulos	Vasilis Papakonstadinou	0055231944	KAPARDINA	HRISTOFOROS KROKIDIS
1AWKAG5IljRnoEromiawhk	It's Too Late	ITSTOOLATE	James Newton Howard	James Newton Howard	0021792442	IT'S TOO LATE	HOWARD JAMES NEWTON
1LGMu3k03UURXTuATa2xdg	"The Shadow of Your Smile (Love Theme from ""The Sandpiper"")"	SHADOWOFYOURSMILE	Ernie Freeman,Johnny Mandel,Paul Francis Webster	Vic Damone	0000484068	SHADOW OF YOUR SMILE	MANDEL J/WEBSTER P
7qLN09P7CvMTikaavrkGUr	Revitalize	REVITALISE	Kay(fabe) LaNoise,Melanie GÃÂ¼ntzschel,Rico Suchatzki	Wynardtage	0044368966	REVITALIZE	KAYFABE LANOISE/RICO SUCHATZKI/MELANIE G
0SSIr855WMaF6rWXjZvgRo	Habit of Mind	HABITOFMIND	Daniel Clarke,Joshua Grange,k.d. lang	k.d. lang,the Siss Boom Bang	0040753013	HABIT OF MIND	LANG K/GRANGE J/CLARKE D
6f4OdqA93uyv2K6UeEbKXU	St. Anger	ANGER	Dennis Lisk,Guido Weiss,Jan Phillip Eissfeldt	Beginner	0033721788	ST. ANGER	EISSFELDT J/LISK D/WEISS G
5GoGjEsPvr0McJQiGGCnws	Man Listen	MANLISTEN	A. Balshe,Ben Diehl,Danny Nguyen,K. Khaled	Belly	0052016445	MAN LISTEN	DIEHL B/BALSHE A/KHALED K/NGUYEN D
7c6opaRm7F0yivzl40LRqJ	Undercover of My Skin	UNDERCOVEROFMYSKIN	Benjamin Robert Walker,Jan Skubiszewski	Benny Walker	0054098394	UNDERCOVER OF MY SKIN	WALKER B/SKUBISZEWSKI J
7koVKROalkRPaeMFFzcyfw	Das Rheingold, WWV 86A / Erste Szene: Weia! Waga! Woge du Welle! - Live At Staatsoper, Vienna / 2011	RHEINGOLDWV86AERSTESZENEW	Richard Wagner	Christian Thielemann,Ileana Tonca,Tomasz Konieczny,Ulrike Helzel,Vienna State Opera Orchestra,Zoryana Kushpler	0050498186	DAS RHEINGOLD, WWV 86A, ERSTE SZENE: WEIA! WAGA! WOGE, DU WE	RICHARD WAGNER
4INqVSyfEPwnTkHtCwhIAb	Love Me Tender	LOVEMETENDER	E Presley,VG Matson	Daniel O'Donnell	0000808505	LOVE ME TENDER	PRESLEY E/MATSON V
4toHIBRIKMEEE61SusEwes	Higher - Jerry Folk Remix	HIGHERJERYFOLKREMIX	Ketil Jansen,Maty Noyes,Sebastian Teigen,Ulrik Denizou Lund	Lemaitre	0053240634	HIGHER JERRY FOLK REMIX	MATY NOYES/KETIL JANSEN/SEBASTIAN TEIGEN
0sBjk0d2JfH0foHkt1VXPD	Rations	RATION	Coby Brown	Coby Brown	0049517010	RATIONS	BROWN COBY
6jTuYb8VuMrlooQy45eN03	Equinox	EQUINOX	Ivan Myslikovjan,Lucie Burns	Lazy Hammock	0043540276	EQUINOX	 BURNS LUCIE/MYSLIKOVJAN IVAN
2rArUcVf6tenO8UL54keho	Jussara	JUSARA	Quincas Moreira	Zuco 103	0033459634	JUSSARA	MOREIRA QUICAS
4aYnfoTYbbyDr6v2RaicYB	Do It Together	DOITTOGETHER	Adam Baker,Daniel Rankine,Daniel Yates,Matthew Honson,Matthew Lambert	Funkoars	0037389933	DO IT TOGETHER	YATES/RANKINE/BAKER/HONSON/LAMBERT
4m1opmaYT9zk5OP7IHUb9R	Call To Arms	CALTOARM	Sturgill Simpson	Sturgill Simpson	0049532754	CALL TO ARMS	SIMPSON JOHN STURGILL
4d0yzZtMPYKU6AmijCNpLj	Concerto for Violin and Organ in C Major, RV 808: III. Allegro	CONCERTOFORVIOLIN&ORGANIN	Antonio Vivaldi	Amandine Beyer,Gli Incogniti	0043514861	CONCERTO FOR VIOLIN AND ORGAN IN C MAJOR, RV 808: III. ALLEG	ANTONIO VIVALDI
25Q5OflSxjMcI6er7dshoS	Dionysian Urge	DIONYSIANURGE	Tim Wheeler	Ash	0039484292	DIONYSIAN URGE	WHEELER TIMOTHY JAMES ARTHUR
0lVrzRQJbBdQnTr57e70t1	Thumbelina	THUMBELINA	Frank Loesser	Bernard Cribbins	0003149201	THUMBELINA	LOESSER FRANK
7HsVqk0jBaixdESPtbxDwf	Adorations	ADORATION	Jaz Coleman,Kevin Walker,Martin Glover,Paul Ferguson	Killing Joke	0002965159	ADORATIONS	COLEMAN J/FERGUSON M/RAVEN P/WALKER K
7s0CqOvyKGkyPLl6N2Bg9I	Kiss Me	KISME	Stephen Duffy	Stephen Duffy	0009494345	KISS ME	DUFFY STEPHEN ANTHONY JAMES
3SIEL0FHZrOmYb6YdCPXER	Liebster Gott, wenn werd ich sterben, BWV 8: Recitative: Behalte nur, o Welt, das Meine! (Soprano)	LIEBSTERGOTWENWERDICHSTER	Johann Sebastian Bach	English Baroque Soloists,Katherine Fuge,Mark Padmore,Robin Tyson,The Monteverdi Choir,Thomas Guthrie	0041900984	LIEBSTER GOTT, WENN WERD ICH STERBEN, BWV 8: ACCOMPANIED REC	JOHANN SEBASTIAN BACH/CASPAR NEUMANN
7ByyYB8M24L0dGUh5f2ZUL	Krajina je majka	KRAJINAJEMAJKA	Velimir Zivkovic	Bora Drljaca	0043328731	KRAJINA JE MAJKA	ZIVKOVIC V/ZIVKOVIC V
4JkoBVUPDMc4PbBctG2ySs	Hulapalu	HULAPALU	Andreas Gabalier	Die Grubertaler	0048208280	HULAPALU	GABALIER ANDREAS
3CKH9RNXLcvl6baYJUybCL	Koliko Je Prevarenih	KOLIKOJEPREVARENIH	Zlatko Timotic Zlaja	Dragana Mirkovic	0047891892	KOLIKO JE PREVARENIH	ZLATKO TIMOTIC ZLAJA
7eDjwwpghuiCEVXhtel8Zy	Dankbar	DANKBAR	Benjamin Stottmeister	Herr von Grau	0045989523	DANKBAR	BENJAMIN STOTTMEISTER
40esUsEMmw0qwhnGMseDgR	You Lose	YOULOSE	Stefan Becher	Delusions of Lunacy	0044518681	YOU LOSE	STEFAN BECHER
4nYysvyXvE31PB8KVJWDoM	Who Dat	WHODAT	Christopher A. Stewart,Diandre Davis,JT Money,Thabiso Nkhereanye,Tony Mercedes,Tonya Johnston	JT Money	0019432337	WHO DAT	DAVIS/JOHNSTON/NKHEREANYE/STEWART/THOMPK
79xLmqnrSLtzrTlCOkmTmq	Call Upon	CALUPON	Samuel Gray,Steve Manovski	Penthox	0054676411	CALL UPON	GRAY S/MANOVSKI S/ESTRADE L/SUNDBAUM E
4x9Aig6PzVapoeeYoNocYC	Opened	OPENED	Patrick Robert Lynch,Philip Andrews Duchesne,Sergio Andres Barrera	Horizons	0053496331	OPENED	PATRICK ROBERT LYNCH/PHILIP ANDREWS DUCH
3YAoxvQt6hpSbmQ9HIom01	Rugged Country	RUGEDCOUNTRY	Michelle Zauner	Japanese Breakfast	0049731795	RUGGED COUNTRY	ZAUNER MICHELLE CHONGMI
0tGIRDsFl3j5TMbK7nK2Ji	The Great Water Sequel	GREATWATERSEQUEL	Fredric Lindblom,Robin Eveborn	Last Lynx	0055357834	THE GREAT WATER SEQUEL	FREDRIC LINDBLOM/FREDRIC LINDBLOM/ROBIN
5vBCcgTVe22nwY3EGMXdvh	Dixie Boogie	DIXIEBOOGIE	Atwell,T Rad	Winifred Atwell	0002380202	DIXIE BOOGIE	ATWELL WINIFRED
38casNXY2G39SZRUjALtcY	How I Roll	HOWIROL	Bonnie McKee,Christian Karlsson,Henrik Jonback,Magnus LidehÃÂ¤ll,Nicole Morier,Pontus Winnberg	Britney Spears	0040782333	HOW I ROLL	KARLSSON/WINNBERG/LIDEHALL/JONBACK/MCKEE
4I08B4Z8l5jroZYupuna8h	Please Come Back	PLEASECOMEBACK	Dag Sindre Vagle	Helldorado	0047424715	PLEASE COME BACK	DAG SINDRE VAGLE/DAG SINDRE VAGLE
2nwBoEYXhXKsLp0A88DZI4	The Photographer: Act II	PHOTOGRAPHERACTII	Philip Glass	Philip Glass Ensemble	0042708479	THE PHOTOGRAPHER: ACT II	PHILIP GLASS
528YVqE16CenL0aLYrJOej	Yang Terlewatkan	YANGTERLEWATKAN	Eross Chandra	Sheila On 7	0038000002	YANG TERLEWATKAN	CANDRA EROSS
0NerbJg3H6xJMjAiUH4R9y	Colliepark	COLIEPARK	Sinistarr	Sinistarr	0042360762	COLLIEPARK	SINISTARR
719sQR7qma8K6kgMlpQSOe	I Don't Mind	IDONTMIND	Vinzenz John	Vince Johnson	0055106640	I DON'T MIND	VINZENZ JOHN
4ZVZB9inlBtfFPUdnOu4AT	Bluebird	BLUEBIRD	Katie Noonan	Katie Noonan	0033178417	BLUEBIRD	NOONAN KATIE ANNE
35e7ckbWgHjHI9n3oL6jnd	Malade	MALADE	Eazy Dew,Pierre Bertrand,RomÃÂ©o Elvis,Vladimir Cauchemar	RomÃÂ©o Elvis	0055526217	MALADE	ELVIS R/BERTRAND P/BRIERE G
2wRZk21Klib9hcPslNwyqD	Dembese	DEMBESE	Tete Mbambisa	Brian Thusi	0040785791	DEMBESE	THUSI B/MAMBISA T
7MnxdsnHrXOgnqpAv6K04d	Why Don't You Fall in Love with Me? - Remastered	WHYDONTYOUFALINLOVEWITHME	Al Lewis,Mabel Wayne	Connee Boswell	0003248453	WHY DONT YOU FALL IN LOVE WITH ME	LEWIS A/WAYNE M
252htgicGlEQdV2se6iZdJ	Dear X, You Don't Own Me	DEARXYOUDONTOWNME	Ben Glover,Kevin Young,Rob Hawkins	Disciple	0040170853	DEAR X YOU DON'T OWN ME	YOUNG K/GLOVER B/HAWKINS R
40nsQucs2zbec1F8JBi0iJ	New Generation	NEWGENERATION	Csaba Zvekan	Raven Lord	0052169085	NEW GENERATION	CSABA ZVEKAN
2gU1CTTz1Gl05yF13Ub2Ol	Let Me Fall in Love	LETMEFALINLOVE	Sebastian Olzanski	Sebastian Olzanski	0055511794	LET ME FALL IN LOVE	SEBASTIAN OLZANSKI
3iWHl7QFmQ9HmXgDEyzxop	Sign Of Relief	SIGNOFRELIEF	Anne Jennifer Dudley,Gary Langan,Jonathan Edward Jeczalik,Paul Robert Morley,Trevor Charles Horn	Art Of Noise	0044739698	SIGN OF RELIEF	DUDLEY/HORN/JECZALIK/LANGAN/MORLEY
